title,img_urls,category,description,price,detail_url
Bóng rổ Spalding Sketch Dribble – Indoor/Outdoor Size 7 84-381z - Hàng Chính Hãng,https://bizweb.dktcdn.net/100/485/982/products/1-1739336413725.jpg?v=1739336417683; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1739336413725.jpg?v=1739336417683; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1739336413732.jpg?v=1739336418463; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1739336413741.jpg?v=1739336419353; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1739336413749.jpg?v=1739336420317,Bóng rổ,Thông tin sản phẩm đang được cập nhật,550.000₫,https://shop.webthethao.vn/bong-ro-spalding-sketch-dribble-indoor-outdoor-size-7-84-381z-hang-chinh-hang
Bóng rổ Spalding TF33 Gold – Indoor/Outdoor Size 6 84-532z - Hàng Chính Hãng,https://bizweb.dktcdn.net/100/485/982/products/1-1739336319401.jpg?v=1739336324170; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1739336319401.jpg?v=1739336324170; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1739336319411.jpg?v=1739336325330; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1739336319420.jpg?v=1739336326640,Bóng rổ,Thông tin sản phẩm đang được cập nhật,600.000₫,https://shop.webthethao.vn/bong-ro-spalding-tf33-gold-outdoor-indoor-size-6-84-532z-hang-chinh-hang
Bóng rổ Spalding Commander – Indoor/Outdoor Size 7 84-589z - Hàng Chính Hãng,https://bizweb.dktcdn.net/100/485/982/products/1-1739336230269.jpg?v=1739336234637; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1739336230269.jpg?v=1739336234637; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1739336230279.jpg?v=1739336235437; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1739336230288.jpg?v=1739336236230; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1739336230298.jpg?v=1739336237223; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/5-1739336230307.jpg?v=1739336237727,Bóng rổ,Thông tin sản phẩm đang được cập nhật,520.000₫,https://shop.webthethao.vn/bong-ro-spalding-commander-outdoor-size-7-84-589z-hang-chinh-hang
Bóng rổ Spalding Green/Yellow Graffiti – Indoor/Outdoor Size 7 84-374z - Hàng Chính Hãng,https://bizweb.dktcdn.net/100/485/982/products/1-1739336184010.jpg?v=1739336188630; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1739336184010.jpg?v=1739336188630; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1739336184021.jpg?v=1739336189403; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1739336184034.jpg?v=1739336189900,Bóng rổ,Thông tin sản phẩm đang được cập nhật,520.000₫,https://shop.webthethao.vn/bong-ro-spalding-green-yellow-graffiti-outdoor-size-7-84-374z-hang-chinh-hang
Bóng rổ Spalding Orange Graffiti – Indoor/Outdoor Size 7 84-376z - Hàng Chính Hãng,https://bizweb.dktcdn.net/100/485/982/products/1-1739336147000.jpg?v=1739336151900; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1739336147000.jpg?v=1739336151900; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1739336147009.jpg?v=1739336152413; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1739336147017.jpg?v=1739336153317; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1739336147025.jpg?v=1739336153813,Bóng rổ,Thông tin sản phẩm đang được cập nhật,520.000₫,https://shop.webthethao.vn/bong-ro-spalding-orange-graffiti-outdoor-size-7-84-376z-hang-chinh-hang
Bóng rổ Spalding TF 250 React – Indoor/Outdoor Size 6 76-802z - Hàng Chính Hãng,https://bizweb.dktcdn.net/100/485/982/products/4-1692610609782-ceff3645-6e86-4431-9916-68e3e1d683a7.png?v=1739333916407; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1692610609782-ceff3645-6e86-4431-9916-68e3e1d683a7.png?v=1739333916407; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1-1692610627580-1bbeb50d-31bd-4d4f-9acb-5e4dd7bfaaf7.jpg?v=1739333917317; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-2-1692610628766-8e47b158-14fb-4cc1-b1d1-e94bd048990c.jpg?v=1739333918270; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-3-1692610629748-312b821a-57d2-4e1f-962c-ec614371603d.jpg?v=1739333919233; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-4-1692610633815-a1b11029-05c6-4116-878d-87b0341985b9.jpg?v=1739333919783,Bóng rổ,"Sân đấu là một tấm vải, và quả bóng là cây cọ của bạn. Khám phá sự sáng tạo trong trò chơi tuyệt vời này với bóng rổ Spalding REACT TF-250 All Surface. Tay cầm đặc trưng của Spalding sẽ giúp bạn kiểm soát trận đấu mọi lúc. Dù là đường chuyền sau lưng mà bạn đã hoàn thiện hay cú ném quyết định của hiệp hai mà bạn đã luyện tập, REACT TF-250 luôn sẵn sàng cho mọi trận đấu. Vỏ composite hiệu suất trên mọi bề mặt đảm bảo rằng bạn đã sẵn sàng bất kể thời điểm hay địa điểm của trò chơi. Trò chơi đang gọi. Hãy đáp lại lời gọi với Spalding REACT TF-250.; CHI TIẾT SẢN PHẨM; ĐỘ BÁM TỐT: Toàn bộ bề mặt được bao phủ bởi lớp composite, mang lại cho bóng độ bám vững chắc để kiểm soát toàn diện.; CẢM GIÁC CỦA NGƯỜI CHẠM: Spalding Shooter’s Seam được chế tạo để nhận diện bóng ngay lập tức, kiểm soát tối ưu và đạt độ chính xác cao.; CHƠI TRÊN TẤT CẢ CÁC BỀ MẶT: Từ lối đi vào gara đến phòng tập thể dục và mọi nơi xung quanh.; KÍCH THƯỚC CHÍNH THỨC: Kích thước 7, 29,5""; ĐƯỢC GIAO HÀNG ĐÃ BƠM: Cảm giác sẵn sàng để chơi game ngay khi mở hộp. Khuyến nghị áp suất bơm hơi là 8 PSI.",665.000₫,https://shop.webthethao.vn/bong-ro-spalding-tf-250-react-indoor-outdoor-size-6-76-802z-hang-chinh-hang
"Áo phông chính thức của giải bóng rổ sinh viên toàn quốc NUC ""Đen"" - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/1-1736741570266.jpg?v=1736741573570; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1736741570266.jpg?v=1736741573570; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1736741570267.jpg?v=1736741574930; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/8d651afa6b49bc17e558-1736741570269.jpg?v=1736741575590; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/7d0ba99871d5a78bfec45-1736741570273.jpg?v=1736741576183,Bóng rổ,,135.000₫,https://shop.webthethao.vn/ao-phong-chinh-thuc-cua-giai-bong-ro-sinh-vien-toan-quoc-nuc-den-hang-chinh-hang
Bóng rổ thi đấu Động Lực Stepback SB2000 size 6 - Hàng Chính Hãng,https://bizweb.dktcdn.net/100/485/982/products/sb2000-1702609282959-9d6ccaf4-02a2-45f9-9dab-30042e9f27f8.png?v=1731665777767; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/sb2000-1702609282959-9d6ccaf4-02a2-45f9-9dab-30042e9f27f8.png?v=1731665777767; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/sb2000-1-1697798447107-d6e72c36-2c87-4eb5-9a69-7c4c469249f6.jpg?v=1731665778813; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/sb2000-2-1697798448605-d7dd69e0-e71b-4bf8-b4ed-f8e14e17e84d.jpg?v=1731665779607; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/sb2000-3-1697798450037-bc404093-b22f-415d-ad70-3dc1d373c40f.jpg?v=1731665780697; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/sb2000-5-1697798451350-37f1877f-b687-4f6f-9578-107d06acbb7a.jpg?v=1731665781413; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/sb2000-7-1697798453315-63457e11-0137-4f04-932f-8d234f9b3675.jpg?v=1731665782547,Bóng rổ,"Bóng SB2000 Microfiber – bóng thi đấu nam; Bóng rổ da cao cấp dùng để thi đấu, chu vi bóng từ 750-770, trọng lượng bóng từ 580-620.; Microfiber: Microfiber là sợi tổng hợp mịn, có đường kính nhỏ hơn 10 micromet (bằng 1/5 sợi tóc người). Các loại sợi nhỏ phổ biến nhất được làm từ Polyeste khác nhau; Polyamit; và sự kết hợp của Polyester, Polyamide và Polypropylene.; Da Microfiber là loại da mô phỏng cấu trúc của da động vật thật tự nhiên và áp dụng hình thức dệt xuyên kim mô phỏng 3D để tạo thành. Nhờ đó mà vẻ ngoài và cấu tạo của chúng giống tới 80-90% so với da thật. Da Microfiber thuộc dòng phân khúc cao cấp nhất trong các loại da tổng hợp.; Có khả năng chống cháy– Chống xước, không nổ da– Chống nước – Chịu lực tố",595.000₫,https://shop.webthethao.vn/bong-ro-thi-dau-dong-luc-stepback-sb2000-size-6-hang-chinh-hang
"Áo phông trọng tài giải bóng rổ sinh viên toàn quốc NUC ""Xám"" MJ-AJ1207-23 - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/1-1730364442995.jpg?v=1730366674687; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1730364442995.jpg?v=1730366674687; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1730364444214.jpg?v=1730366675167; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1730364445317.jpg?v=1730366676073; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1730364446911.jpg?v=1730366676590; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/5-1730364448488.jpg?v=1730366677283,Bóng rổ,Thông tin sản phẩm đang được cập nhật,135.000₫,https://shop.webthethao.vn/ao-phong-trong-tai-giai-bong-ro-sinh-vien-toan-quoc-nuc-xam-mj-aj1207-23-hang-chinh-hang
"Áo polo giải bóng rổ sinh viên toàn quốc NUC ""Đen Vàng"" MJ-AJ1209 - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/1-1730364358668.jpg?v=1730366669740; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1730364358668.jpg?v=1730366669740; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1730364358675.jpg?v=1730366670227; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1730364358690.jpg?v=1730366670943; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1730364358703.jpg?v=1730366671860; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/5-1730364358717.jpg?v=1730366672593,Bóng rổ,Thông tin sản phẩm đang được cập nhật,135.000₫,https://shop.webthethao.vn/ao-polo-giai-bong-ro-sinh-vien-toan-quoc-nuc-den-vang-mj-aj1209-hang-chinh-hang
