title,detail_url,img_urls,category,description
"Giày Pickleball Nam Động Lực Jogarbola Endura ""Navy"" JG-23557-06 - Hàng Chính Hãng",https://shop.webthethao.vn/giay-pickleball-nam-dong-luc-jogarbola-endura-navy-jg-23557-06-hang-chinh-hang,https://bizweb.dktcdn.net/100/485/982/products/1-1747208033478.jpg?v=1747208036877; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1747208033478.jpg?v=1747208036877; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1747208033483.jpg?v=1747208038430; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1747208033487.jpg?v=1747208039143; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1747208033491.jpg?v=1747208039940; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/5-1747208033498.jpg?v=1747208040773; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/6-1747208033503.jpg?v=1747208041740; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/7-1747208033508.jpg?v=1747208042670; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/8-1747208033515.jpg?v=1747208043593; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/9-1747208033531.jpg?v=1747208044657; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/10-1747208033536.jpg?v=1747208045217; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/11-1747208033545.jpg?v=1747208046423,Pickleball,"Giày Pickleball Jogarbola Endura – Bảo Vệ Chân, Lên Sân Tự Tin; Giày Pickleball Jogarbola Endura là lựa chọn hoàn hảo cho người chơi bán chuyên và phong trào, mang đến sự thoải mái, ổn định và hiệu suất vượt trội trên sân. Với thiết kế tối giản, dễ phối đồ cùng những công nghệ hiện đại, đôi giày này giúp bạn làm chủ từng bước di chuyển.; Đặc điểm nổi bật; Upper TPU kết hợp Microfiber bền bỉ cùng lưới thoáng khí, mang lại độ ôm chân vừa vặn và sự thông thoáng tối đa.; Công nghệ J-Foam – Đế Phylon đàn hồi tốt, giảm chấn hiệu quả, mang lại cảm giác nhẹ nhàng và êm ái trong từng bước di chuyển.; Công nghệ J-Rubber – Đế cao su tăng cường ma sát, chống trơn trượt, giúp bạn luôn vững vàng trên mọi mặt sân.; Công nghệ J-Lock – Thanh TPU chống vặn xoắn, hạn chế lật cổ chân, tối ưu phản lực khi di chuyển và đổi hướng nhanh.; Thông số kỹ thuật; Chất liệu; : TPU, Microfiber, vải lưới; Màu; : Beige, Navy, White; Size; : 39-44"
"Giày Pickleball Nam Động Lực Jogarbola Endura ""White"" JG-23557-05 - Hàng Chính Hãng",https://shop.webthethao.vn/giay-pickleball-nam-dong-luc-jogarbola-endura-white-jg-23557-05-hang-chinh-hang,https://bizweb.dktcdn.net/100/485/982/products/1-1747208000189.jpg?v=1747208004043; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1747208000189.jpg?v=1747208004043; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1747208000193.jpg?v=1747208004910; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1747208000195.jpg?v=1747208005607; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1747208000198.jpg?v=1747208006190; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/5-1747208000202.jpg?v=1747208006913; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/6-1747208000204.jpg?v=1747208007437; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/7-1747208000208.jpg?v=1747208008330; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/8-1747208000212.jpg?v=1747208009063; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/9-1747208000218.jpg?v=1747208009803; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/10-1747208000221.jpg?v=1747208010313; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/11-1747208000227.jpg?v=1747208010823,Pickleball,"Giày Pickleball Jogarbola Endura – Bảo Vệ Chân, Lên Sân Tự Tin; Giày Pickleball Jogarbola Endura là lựa chọn hoàn hảo cho người chơi bán chuyên và phong trào, mang đến sự thoải mái, ổn định và hiệu suất vượt trội trên sân. Với thiết kế tối giản, dễ phối đồ cùng những công nghệ hiện đại, đôi giày này giúp bạn làm chủ từng bước di chuyển.; Đặc điểm nổi bật; Upper TPU kết hợp Microfiber bền bỉ cùng lưới thoáng khí, mang lại độ ôm chân vừa vặn và sự thông thoáng tối đa.; Công nghệ J-Foam – Đế Phylon đàn hồi tốt, giảm chấn hiệu quả, mang lại cảm giác nhẹ nhàng và êm ái trong từng bước di chuyển.; Công nghệ J-Rubber – Đế cao su tăng cường ma sát, chống trơn trượt, giúp bạn luôn vững vàng trên mọi mặt sân.; Công nghệ J-Lock – Thanh TPU chống vặn xoắn, hạn chế lật cổ chân, tối ưu phản lực khi di chuyển và đổi hướng nhanh.; Thông số kỹ thuật; Chất liệu; : TPU, Microfiber, vải lưới; Màu; : Beige, Navy, White; Size; : 39-44"
"Giày Pickleball Nam Động Lực Jogarbola Endura ""Beige"" JG-23557-04 - Hàng Chính Hãng",https://shop.webthethao.vn/giay-pickleball-nam-dong-luc-jogarbola-endura-beige-jg-23557-04-hang-chinh-hang,https://bizweb.dktcdn.net/100/485/982/products/1-1747207962540.jpg?v=1747207967507; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1747207962540.jpg?v=1747207967507; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1747207962545.jpg?v=1747207968267; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1747207962550.jpg?v=1747207969247; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1747207962554.jpg?v=1747207970080; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/5-1747207962558.jpg?v=1747207970973; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/6-1747207962562.jpg?v=1747207972013; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/7-1747207962566.jpg?v=1747207972580; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/8-1747207962571.jpg?v=1747207973083; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/9-1747207962579.jpg?v=1747207973593; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/10-1747207962582.jpg?v=1747207974040; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/11-1747207962589.jpg?v=1747207974353,Pickleball,"Giày Pickleball Jogarbola Endura – Bảo Vệ Chân, Lên Sân Tự Tin; Giày Pickleball Jogarbola Endura là lựa chọn hoàn hảo cho người chơi bán chuyên và phong trào, mang đến sự thoải mái, ổn định và hiệu suất vượt trội trên sân. Với thiết kế tối giản, dễ phối đồ cùng những công nghệ hiện đại, đôi giày này giúp bạn làm chủ từng bước di chuyển.; Đặc điểm nổi bật; Upper TPU kết hợp Microfiber bền bỉ cùng lưới thoáng khí, mang lại độ ôm chân vừa vặn và sự thông thoáng tối đa.; Công nghệ J-Foam – Đế Phylon đàn hồi tốt, giảm chấn hiệu quả, mang lại cảm giác nhẹ nhàng và êm ái trong từng bước di chuyển.; Công nghệ J-Rubber – Đế cao su tăng cường ma sát, chống trơn trượt, giúp bạn luôn vững vàng trên mọi mặt sân.; Công nghệ J-Lock – Thanh TPU chống vặn xoắn, hạn chế lật cổ chân, tối ưu phản lực khi di chuyển và đổi hướng nhanh.; Thông số kỹ thuật; Chất liệu; : TPU, Microfiber, vải lưới; Màu; : Beige, Navy, White; Size; : 39-44"
"Áo phông thể thao nam Jogarbola màu ""Pastel Blue"" MJ-A430-06 - Hàng Chính Hãng",https://shop.webthethao.vn/ao-phong-the-thao-nam-jogarbola-mau-pastle-blue-mj-a430-06-hang-chinh-hang,https://bizweb.dktcdn.net/100/485/982/products/1-1745403809663.jpg?v=1745404221900; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1745403809663.jpg?v=1745404221900; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1745403809665.jpg?v=1745404222797; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1745403809666.jpg?v=1745404223630; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1745403809667.jpg?v=1745404224140; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/5-1745403809668.jpg?v=1745404224987; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/6-1745403809669.jpg?v=1745404225760,Khác,"Áo Phông Thể Thao Pickleball MJ-A430 – Mát mịn & Linh Hoạt Tối Đa; - Sự kết hợp giữa 92% poly và 8% spandex giúp áo có độ co giãn vượt trội cả 4 chiều, đảm bảo cảm giác dễ chịu.; - Vải poly không chỉ nhẹ mà còn có khả năng thoát ẩm nhanh, giữ cho cơ thể luôn khô ráo.; - Hệ thống lỗ thông khí được bố trí trải khắp bề mặt áo, hỗ trợ điều hòa nhiệt độ cơ thể, giúp tăng cường sự thoáng mát.; - Logo silicon tinh tế trên ngực áo tạo điểm nhấn hiện đại và thể thao, mang lại vẻ ngoài năng động và chuyên nghiệp cho người mặc.; - Phù hợp cho các môn thể thao vận động: Pickleball, bóng chuyền, cầu lông, ..."
"Áo phông thể thao nam Jogarbola màu ""Yellow"" MJ-A430-05 - Hàng Chính Hãng",https://shop.webthethao.vn/ao-phong-the-thao-nam-jogarbola-mau-yellow-mj-a430-05-hang-chinh-hang,https://bizweb.dktcdn.net/100/485/982/products/1-1745403764547.jpg?v=1745404101853; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1745403764547.jpg?v=1745404101853; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1745403764549.jpg?v=1745404103277; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1745403764550.jpg?v=1745404104017; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1745403764551.jpg?v=1745404104767; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/5-1745403764551.jpg?v=1745404105453; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/6-1745403764552.jpg?v=1745404106593; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/7-1745403764553.jpg?v=1745404107350; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/8-1745403764554.jpg?v=1745404108097,Khác,"Áo Phông Thể Thao Pickleball MJ-A430 – Mát mịn & Linh Hoạt Tối Đa; - Sự kết hợp giữa 92% poly và 8% spandex giúp áo có độ co giãn vượt trội cả 4 chiều, đảm bảo cảm giác dễ chịu.; - Vải poly không chỉ nhẹ mà còn có khả năng thoát ẩm nhanh, giữ cho cơ thể luôn khô ráo.; - Hệ thống lỗ thông khí được bố trí trải khắp bề mặt áo, hỗ trợ điều hòa nhiệt độ cơ thể, giúp tăng cường sự thoáng mát.; - Logo silicon tinh tế trên ngực áo tạo điểm nhấn hiện đại và thể thao, mang lại vẻ ngoài năng động và chuyên nghiệp cho người mặc.; - Phù hợp cho các môn thể thao vận động: Pickleball, bóng chuyền, cầu lông, ..."
"Áo phông thể thao nam Jogarbola màu ""Red"" MJ-A430-04 - Hàng Chính Hãng",https://shop.webthethao.vn/ao-phong-the-thao-nam-jogarbola-mau-red-mj-a430-04-hang-chinh-hang,https://bizweb.dktcdn.net/100/485/982/products/1-1745403689077.jpg?v=1745403911870; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1745403689077.jpg?v=1745403911870; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1745403689078.jpg?v=1745403912653; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1745403689079.jpg?v=1745403913413; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1745403689079.jpg?v=1745403913990,Khác,"Áo Phông Thể Thao Pickleball MJ-A430 – Mát mịn & Linh Hoạt Tối Đa; - Sự kết hợp giữa 92% poly và 8% spandex giúp áo có độ co giãn vượt trội cả 4 chiều, đảm bảo cảm giác dễ chịu.; - Vải poly không chỉ nhẹ mà còn có khả năng thoát ẩm nhanh, giữ cho cơ thể luôn khô ráo.; - Hệ thống lỗ thông khí được bố trí trải khắp bề mặt áo, hỗ trợ điều hòa nhiệt độ cơ thể, giúp tăng cường sự thoáng mát.; - Logo silicon tinh tế trên ngực áo tạo điểm nhấn hiện đại và thể thao, mang lại vẻ ngoài năng động và chuyên nghiệp cho người mặc.; - Phù hợp cho các môn thể thao vận động: Pickleball, bóng chuyền, cầu lông, ..."
"Áo phông thể thao nam Jogarbola màu ""Green/Yellow"" MJ-A430-03 - Hàng Chính Hãng",https://shop.webthethao.vn/ao-phong-the-thao-nam-jogarbola-mau-green-yellow-mj-a430-03-hang-chinh-hang,https://bizweb.dktcdn.net/100/485/982/products/1-1745403647604.jpg?v=1745403904500; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1745403647604.jpg?v=1745403904500; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1745403647606.jpg?v=1745403905223; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1745403647610.jpg?v=1745403905723; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1745403647611.jpg?v=1745403906427; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/5-1745403647612.jpg?v=1745403907043; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/6-1745403647613.jpg?v=1745403907533; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/7-1745403647614.jpg?v=1745403908303; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/8-1745403647615.jpg?v=1745403909097; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/9-1745403647616.jpg?v=1745403909890,Khác,"Áo Phông Thể Thao Pickleball MJ-A430 – Mát mịn & Linh Hoạt Tối Đa; - Sự kết hợp giữa 92% poly và 8% spandex giúp áo có độ co giãn vượt trội cả 4 chiều, đảm bảo cảm giác dễ chịu.; - Vải poly không chỉ nhẹ mà còn có khả năng thoát ẩm nhanh, giữ cho cơ thể luôn khô ráo.; - Hệ thống lỗ thông khí được bố trí trải khắp bề mặt áo, hỗ trợ điều hòa nhiệt độ cơ thể, giúp tăng cường sự thoáng mát.; - Logo silicon tinh tế trên ngực áo tạo điểm nhấn hiện đại và thể thao, mang lại vẻ ngoài năng động và chuyên nghiệp cho người mặc.; - Phù hợp cho các môn thể thao vận động: Pickleball, bóng chuyền, cầu lông, ..."
"Áo phông thể thao nam Jogarbola màu ""Green/Black"" MJ-A430-02 - Hàng Chính Hãng",https://shop.webthethao.vn/ao-phong-the-thao-nam-jogarbola-mau-green-black-mj-a430-02-hang-chinh-hang,https://bizweb.dktcdn.net/100/485/982/products/1-1745403511831.jpg?v=1745403860080; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1745403511831.jpg?v=1745403860080; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1745403511834.jpg?v=1745403860650; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1745403511836.jpg?v=1745403860947; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1745403511837.jpg?v=1745403861263; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/5-1745403511838.jpg?v=1745403861560; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/6-1745403511840.jpg?v=1745403862647,Khác,"Áo Phông Thể Thao Pickleball MJ-A430 – Mát mịn & Linh Hoạt Tối Đa; - Sự kết hợp giữa 92% poly và 8% spandex giúp áo có độ co giãn vượt trội cả 4 chiều, đảm bảo cảm giác dễ chịu.; - Vải poly không chỉ nhẹ mà còn có khả năng thoát ẩm nhanh, giữ cho cơ thể luôn khô ráo.; - Hệ thống lỗ thông khí được bố trí trải khắp bề mặt áo, hỗ trợ điều hòa nhiệt độ cơ thể, giúp tăng cường sự thoáng mát.; - Logo silicon tinh tế trên ngực áo tạo điểm nhấn hiện đại và thể thao, mang lại vẻ ngoài năng động và chuyên nghiệp cho người mặc.; - Phù hợp cho các môn thể thao vận động: Pickleball, bóng chuyền, cầu lông, ..."
"Áo phông thể thao nam Jogarbola màu ""Navy"" MJ-A430-01 - Hàng Chính Hãng",https://shop.webthethao.vn/ao-phong-the-thao-nam-jogarbola-mau-navy-mj-a430-01-hang-chinh-hang,https://bizweb.dktcdn.net/100/485/982/products/1-1745403446609.jpg?v=1745403719487; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1745403446609.jpg?v=1745403719487; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1745403446612.jpg?v=1745403720540; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1745403446615.jpg?v=1745403723070,Khác,"Áo Phông Thể Thao Pickleball MJ-A430 – Mát mịn & Linh Hoạt Tối Đa; - Sự kết hợp giữa 92% poly và 8% spandex giúp áo có độ co giãn vượt trội cả 4 chiều, đảm bảo cảm giác dễ chịu.; - Vải poly không chỉ nhẹ mà còn có khả năng thoát ẩm nhanh, giữ cho cơ thể luôn khô ráo.; - Hệ thống lỗ thông khí được bố trí trải khắp bề mặt áo, hỗ trợ điều hòa nhiệt độ cơ thể, giúp tăng cường sự thoáng mát.; - Logo silicon tinh tế trên ngực áo tạo điểm nhấn hiện đại và thể thao, mang lại vẻ ngoài năng động và chuyên nghiệp cho người mặc.; - Phù hợp cho các môn thể thao vận động: Pickleball, bóng chuyền, cầu lông, ..."
"Áo thi đấu Đội tuyển bóng đá Quốc gia 2025 (bản FAN) màu ""Trắng"" MJ-A4054-01 - Hàng Chính Hãng",https://shop.webthethao.vn/ao-thi-dau-doi-tuyen-bong-da-quoc-gia-2025-ban-fan-mau-trang-mj-a4051-01-hang-chinh-hang,https://bizweb.dktcdn.net/100/485/982/products/1-1745224351012.jpg?v=1745224355667; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-1745224351012.jpg?v=1745224355667; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/2-1745224351020.jpg?v=1745224356380; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/3-1745224351023.jpg?v=1745224356737; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/4-1745224351026.jpg?v=1745224357057,Bóng đá & Futsal,"Áo Thi Đấu Đội Tuyển Bóng Đá Quốc Gia 2025 (Bản Fan) – Hòa Nhịp Cùng Niềm Tự Hào Dân Tộc; Sản phẩm thuộc BST Trang phục Đội tuyển Bóng đá Quốc gia 2025, mang thông điệp “Vinh quang Việt Nam” – khẳng định tinh thần kiên cường, bất khuất và khát vọng chiến thắng của những chiến binh sao vàng.; Họa tiết trên áo được lấy cảm hứng từ những dãy núi trùng điệp – tượng trưng cho một Việt Nam kiên cường, bất khuất. Như hành trình của đội tuyển quốc gia, chưa bao giờ dễ dàng nhưng cũng chưa bao giờ chùn bước. Mỗi đường nét trên áo là một dấu ấn mạnh mẽ, nhắc nhở rằng: Không bao giờ lùi bước, chỉ có tiến lên để giành vinh quang!; Đặc điểm nổi bật; Áo thi đấu được làm từ 100% polyester, một trong những chất liệu phổ biến nhất trong trang phục thể thao chuyên nghiệp nhờ vào những ưu điểm vượt trội:; Độ bền cao, giữ form tốt: Polyester có khả năng chống nhăn, không bai dão sau thời gian dài sử dụng. Điều này giúp áo luôn giữ được phom dáng sắc nét, thể hiện sự mạnh mẽ và tinh thần thể thao.; Thoáng khí, hỗ trợ thấm hút mồ hôi: Công nghệ dệt hiện đại giúp không khí lưu thông tốt hơn, nhanh chóng làm khô mồ hôi, mang lại cảm giác dễ chịu khi vận động.; Kháng khuẩn tốt, dễ bảo quản: Chất liệu 100% polyester có đặc tính kháng khuẩn tự nhiên, giúp hạn chế sự phát triển của vi khuẩn và ngăn ngừa mùi hôi do mồ hôi hoặc bụi bẩn tích tụ. Đồng thời, bề mặt vải ít bám bẩn, dễ vệ sinh và nhanh khô, giúp áo luôn sạch sẽ, bền đẹp theo thời gian.; Thông số kỹ thuật; Chất liệu; : 100% polyester; Màu; : Red, White; Size; : S-3XL; Mã SP; : MJ-A4051-03, MJ-A4052-01"
