title,img_urls,category,description,price,detail_url
"Quần tập thể thao Jogarbola nữ ""Trắng"" JG-9030-02 - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/jg-9030-02-01-1686824480218.jpg?v=1686826137277; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/jg-9030-02-01-1686824480218.jpg?v=1686826137277; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686824402760.png?v=1686826138720; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686824405369.png?v=1686826139257; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686824408082.png?v=1686826140543; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686824410847.png?v=1686826142030; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686824413468.png?v=1686826143070,Chạy bộ,Thông tin sản phẩm đang được cập nhật,339.000₫,https://shop.webthethao.vn/quan-tap-the-thao-jogarbola-nu-trang-jg-9030-02-hang-chinh-hang
"Áo tập thể thao Jogarbola nữ ""Xanh Ngọc"" JG-9028-01 - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/jg-9028-01-01-1686824071474.jpg?v=1686826130840; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/jg-9028-01-01-1686824071474.jpg?v=1686826130840; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686824007679.png?v=1686826132073; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/27-0e5f6e78c9e64a7dbcd1cfb09ad28-1686824072631.jpg?v=1686826132723; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686824028976.png?v=1686826133793; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686824034412.png?v=1686826135330,Chạy bộ,Thông tin sản phẩm đang được cập nhật,339.000₫,https://shop.webthethao.vn/ao-tap-the-thao-jogarbola-nu-xanh-ngoc-jg-9028-01-hang-chinh-hang
"Áo thun Nữ Động Lực Jogarbola nữ Star Graphic Dry-Fit ""Xanh"" WJ-0422.02 - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/wj-0422-02-01-1686823872173.jpg?v=1690950806043; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/wj-0422-02-01-1686823872173.jpg?v=1690950806043; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823784801.png?v=1690950806043; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823789787.png?v=1690950806043; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/untitled-capture1210-0674ba594c0-1686823873247.jpg?v=1690950806043; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/adsasdasdasd-1686823875544.jpg?v=1690950806043; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/untitled-capture1205-587ae236db7-1686823877494.jpg?v=1690950806043; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823835498.png?v=1690950806043,Chạy bộ,"1. Thông tin chi tiết; Với thiết kế unisex lấy cảm hứng từ hình ảnh ngôi sao, mẫu áo Star Graphic dễ dàng phối được với quần jogger, jeans hay legging, hứa hẹn sẽ cùng bạn chinh phục mọi buổi tập từ cardio tới aerobics.; Nằm trong BST Hè 2022 của Jogarbola, dòng trang phục thể thao Dry-Fit được thiết kế thông minh với form áo regular fit cùng công nghệ nâng cấp thấm hút mồ hôi (sweat absorbent), giúp bạn luôn thoải mái vận động trong nhiều giờ liền.; 2. Thông số:; - Chất liệu: 90% polyester và 10% spandex co giãn 4 chiều, thấm hút cực tốt; - Thiết kế:; + Cổ tròn; + Dáng regular fit; + Hoạ tiết in chuyển rõ nét; + Mềm mại, thoáng khí; + Màu sắc: Xanh; Bảo hành và CSKH; - Webthethao cam kết hoàn tiền 100% giá bán sản phẩm hoặc đổi mới sản phẩm cho quý khách trong thời hạn 07 ngày tính từ khi khách hàng nhận được sản phẩm, khi sản phẩm bị những lỗi như sau:; + Giao sai mẫu; + Sản phẩm bị lỗi do nhà sản xuất khiến bạn không thể sử dụng được; + Sản phẩm bị hư hỏng, trầy xước trong quá trình vận chuyển hay do bao bì đóng gói không đạt tiêu chuẩn; ---------------------------------------------------------------------------------------; Webthethao.vn; - Thể thao vì một cuộc sống tốt đẹp hơn",345.000₫,https://shop.webthethao.vn/ao-thun-the-thao-jogarbola-nu-star-graphic-dry-fit-xanh-wj-0422-02-hang-chinh-hang
"Áo thun Động Lực Jogarbola nữ ""Đỏ"" JG-502-03 - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/jg-502-03-01-1686823581774.jpg?v=1686826109220; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/jg-502-03-01-1686823581774.jpg?v=1686826109220; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823530433.png?v=1686826111050; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823542093.png?v=1686826113213; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/20-cea5e525107c46d4a78b9000124e3-1686823582984.jpg?v=1686826115253; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823558930.png?v=1686826115910,Chạy bộ,Thông tin sản phẩm đang được cập nhật,399.000₫,https://shop.webthethao.vn/ao-thun-the-thao-jogarbola-nu-do-jg-502-03-hang-chinh-hang
"Áo thun Động Lực Jogarbola nữ ""Đen"" JG-502-04 - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/jg-502-04-01-1686823676651.jpg?v=1686826102027; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/jg-502-04-01-1686823676651.jpg?v=1686826102027; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823615862.png?v=1686826103600; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/17-841f994aef30463f85ec0327acc1d-1686823677761.jpg?v=1686826104283; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/16-c6e23a130101417d805deec54e97e-1686823678670.jpg?v=1686826105447; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823648153.png?v=1686826106370; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823656459.png?v=1686826107817,Chạy bộ,"Áo thun Jogarbola JG 502-04; Áo thun AJ502-04 đến từ thương hiệu Jogarbola nổi tiếng Nhật Bản với chất lượng vượt trội đem lại sự thoải mái, tự tin.; Thiết kế đơn giản nhưng đặc biệt dễ dàng phối đồ tạo nên nhiều phong cách.; Đặc điểm nổi bật; VẢI POLYESTER; Với các lỗ nhỏ li ti trên bề mặt cực thoáng mát, thấm mồ hôi nhanh; THIẾT KẾ TỐI GIẢN; Dễ phối đồ theo nhiều phong cách; KIỂU DÁNG CƠ BẢN; Năng động, trẻ trung; Thông số kỹ thuật; -; Chất liệu; : polyester; -; Kiểu dáng; : cổ tròn, tay ngắn; -; Màu sắc; : Đen; -; Kích thước; : S - XL; -; Mã sản phẩm; : JG 502-04",270.000₫,https://shop.webthethao.vn/ao-thun-the-thao-jogarbola-nu-den-jg-502-04-hang-chinh-hang
"Áo thun Động Lực Jogarbola nữ ""Xanh Navy"" JG-510-11 - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/jg-510-11-01-1686823761332.jpg?v=1686826093373; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/jg-510-11-01-1686823761332.jpg?v=1686826093373; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823708369.png?v=1686826094730; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823720612.png?v=1686826095560; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823724348.png?v=1686826096653; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/1-56-734f39d735114fc7a77ba1d87-1686823762284.jpg?v=1686826098440; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823740655.png?v=1686826099577,Chạy bộ,Thông tin sản phẩm đang được cập nhật,339.000₫,https://shop.webthethao.vn/ao-thun-the-thao-jogarbola-nu-xanh-navy-jg-510-11-hang-chinh-hang
"Áo thun Động Lực Jogarbola nữ ""Trắng"" JG-500-01 - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/jg-500-01-01-1686823361002.jpg?v=1686826075337; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/jg-500-01-01-1686823361002.jpg?v=1686826075337; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823285873.png?v=1686826077637; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823289322.png?v=1686826078590; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823293259.png?v=1686826080287; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823297322.png?v=1686826081533; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823300465.png?v=1686826082987; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823304831.png?v=1686826084533; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823307308.png?v=1686826086070; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823310451.png?v=1686826090263,Chạy bộ,Thông tin sản phẩm đang được cập nhật,399.000₫,https://shop.webthethao.vn/ao-thun-the-thao-jogarbola-nu-trang-jg-500-01-hang-chinh-hang
"Áo thun Động Lực Jogarbola nữ ""Trắng"" JG-502-01 - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/jg-502-01-01-1686823505857.jpg?v=1686826062610; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/jg-502-01-01-1686823505857.jpg?v=1686826062610; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823457109.png?v=1686826065280; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823469138.png?v=1686826066693; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823472411.png?v=1686826068503; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823475567.png?v=1686826069910; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823478849.png?v=1686826072027; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823482602.png?v=1686826073860,Chạy bộ,Thông tin sản phẩm đang được cập nhật,399.000₫,https://shop.webthethao.vn/ao-thun-the-thao-jogarbola-nu-trang-jg-502-01-hang-chinh-hang
"Áo thun Nữ Động Lực Jogarbola nữ Energy Raglan Dry-Fit ""Cam"" WJ-0422.04 - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/wj-0422-04-01-1686823048644.jpg?v=1690950837500; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/wj-0422-04-01-1686823048644.jpg?v=1690950837500; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686822983995.png?v=1690950837500; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686822989296.png?v=1690950837500; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823015882.png?v=1690950837500; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/untitled-capture1106-2731b588684-1686823050270.jpg?v=1690950837500; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/untitled-capture1103-a7ad42b9e1b-1686823052039.jpg?v=1690950837500,Chạy bộ,"1. Thông tin chi tiết; Với thiết kế unisex lấy cảm hứng từ hình ảnh ngôi sao, mẫu áo Star Graphic dễ dàng phối được với quần jogger, jeans hay legging, hứa hẹn sẽ cùng bạn chinh phục mọi buổi tập từ cardio tới aerobics.; Nằm trong BST Hè 2022 của Jogarbola, dòng trang phục thể thao Dry-Fit được thiết kế thông minh với form áo regular fit cùng công nghệ nâng cấp thấm hút mồ hôi (sweat absorbent), giúp bạn luôn thoải mái vận động trong nhiều giờ liền.; 2. Thông số:; - Chất liệu: 90% polyester và 10% spandex co giãn 4 chiều, thấm hút cực tốt; - Thiết kế:; + Cổ tròn; + Dáng regular fit; + Hoạ tiết in chuyển rõ nét; + Mềm mại, thoáng khí; + Màu sắc: Cam; Bảo hành và CSKH; - Webthethao cam kết hoàn tiền 100% giá bán sản phẩm hoặc đổi mới sản phẩm cho quý khách trong thời hạn 07 ngày tính từ khi khách hàng nhận được sản phẩm, khi sản phẩm bị những lỗi như sau:; + Giao sai mẫu; + Sản phẩm bị lỗi do nhà sản xuất khiến bạn không thể sử dụng được; + Sản phẩm bị hư hỏng, trầy xước trong quá trình vận chuyển hay do bao bì đóng gói không đạt tiêu chuẩn; ---------------------------------------------------------------------------------------; Webthethao.vn; - Thể thao vì một cuộc sống tốt đẹp hơn",345.000₫,https://shop.webthethao.vn/ao-thun-the-thao-jogarbola-nu-energy-raglan-dry-fit-cam-wj-0422-04-hang-chinh-hang
"Áo thun Động Lực Jogarbola nữ ""Trắng"" JG-498-01 - Hàng Chính Hãng",https://bizweb.dktcdn.net/100/485/982/products/jg-498-01-01-1686823239541.jpg?v=1686826033350; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/jg-498-01-01-1686823239541.jpg?v=1686826033350; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823149796.png?v=1686826034827; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823153499.png?v=1686826035733; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823157009.png?v=1686826038537; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823160714.png?v=1686826040127; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823171589.png?v=1686826041677; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823198382.png?v=1686826045937; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/txq-9847-71931d576e6d44eea495bbb-1686823240715.jpg?v=1686826048427; https://bizweb.dktcdn.net/thumb/medium/100/485/982/products/image-1686823203741.png?v=1686826049773,Chạy bộ,Thông tin sản phẩm đang được cập nhật,419.000₫,https://shop.webthethao.vn/ao-thun-the-thao-jogarbola-nu-trang-jg-498-01-hang-chinh-hang
